Año,Trimestre,Provincia,Mbps (Media de bajada)
2018,2018Q2,Misiones,11.759657402552
2018,2018Q2,Neuquén,13.365011560108
2018,2018Q2,Río Negro,9.50959511437395
2018,2018Q2,Salta,8.92827170644268
2018,2018Q2,San Juan,5.84559783069231
2018,2018Q2,San Luis,5.90057518488085
2018,2018Q2,Santa Cruz,5.18928995085579
2018,2018Q2,Santa Fe,11.7488846228176
2018,2018Q2,Santiago Del Estero,5.91100164699838
2018,2018Q2,Tierra Del Fuego,5.94274505737592
2018,2018Q2,Tucumán,13.5065457296271
2018,2018Q1,Buenos Aires,14.1988896446809
2018,2018Q1,Capital Federal,17.7455773041801
2018,2018Q1,Catamarca,8.19886052871468
2018,2018Q1,Chaco,12.444064678645
2018,2018Q1,Chubut,5.41863793882778
2018,2018Q1,Córdoba,12.7905712174005
2018,2018Q1,Corrientes,11.1185028652536
2018,2018Q1,Entre Ríos,9.87523936699876
2018,2018Q1,Formosa,11.0568153674695
2018,2018Q1,Jujuy,6.74118587938453
2018,2018Q1,La Pampa,3.9951313520641
2018,2018Q1,La Rioja,5.89082060411163
2018,2018Q1,Mendoza,5.88162696916937
2018,2018Q1,Misiones,12.082189465143
2018,2018Q1,Neuquén,11.9604599560741
2018,2018Q1,Río Negro,8.97624319436158
2018,2018Q1,Salta,9.1894409821995
2018,2018Q1,San Juan,5.85058103554975
2018,2018Q1,San Luis,5.89436270457927
2018,2018Q1,Santa Cruz,5.18928995085579
2018,2018Q1,Santa Fe,11.173305005746
2018,2018Q1,Santiago Del Estero,6.24821072216304
2018,2018Q1,Tierra Del Fuego,5.76808203603288
2018,2018Q1,Tucumán,9.35563168480611
